From;To;Distance (km)
DC;BIALYSTOK_1;496,4
DC;BIALYSTOK_2;493,28
DC;BYDGOSZCZ_1;137,41
DC;BYDGOSZCZ_2;148,12
DC;BYDGOSZCZ_3;140,05
DC;GLOGOW_1;118,45
DC;GLOGOW_2;121,22
DC;INOWROCLAW;117,71
DC;JAROCIN;61,34
DC;KALISZ_1;105,31
DC;KIELCE;344
DC;KONIN;95,46
DC;KOSZALIN;256,63
DC;LEGNICA;166,05
DC;LESZNO_1;72,34
DC;LESZNO_2;72,27
DC;LUBIN;148,34
DC;LUBON;14,78
DC;LODZ_1;192,94
DC;LODZ_2;205,25
DC;OBORNIKI_WLKP;46,78
DC;PABIANICE;216
DC;PILA_1;116,81
DC;PILA_2;117,4
DC;PIOTRKOW_TRYB;241,75
DC;POZNAN_Z;10,94
DC;POZNAN_B;14,38
DC;POZNAN_D;22,33
DC;POZNAN_GL;16,45
DC;POZNAN_GR;18,13
DC;POZNAN_H;18,13
DC;POZNAN_MAL;13,07
DC;POZNAN_MAR;20,28
DC;POZNAN_PLA;19,05
DC;POZNAN_PLE;21,8
DC;POZNAN_PRO;19,76
DC;POZNAN_R;13,88
DC;POZNAN_T;20,45
DC;RADOM;363,95
DC;RZESZOW_1;513,55
DC;RZESZOW_2;521,45
DC;SIERADZ;179,44
DC;SUCHY_LAS;24,09
DC;SWARZEDZ;14,02
DC;SRODA_WLKP;21,25
DC;TORUN_1;159,77
DC;TORUN_2;160,42
DC;TORUN_3;163,58
DC;TRZCIANKA;102,13
DC;WARSZAWA_BL;301,23
DC;WARSZAWA_J;301,72
DC;WARSZAWA_TARCH;310,86
DC;WROCLAW_1;156,11
DC;WROCLAW_2;156,98
DC;WROCLAW_3;154,45
DC;WROCLAW_4;157,07
DC;WROCLAW_5;155,02
DC;ZLOTOW;141,83
DC;CHRZANOW;384,63
DC;KATOWICE;353,27
DC;BIELSKO_BIALA;408,35
DC;GDANSK_1;308,5
DC;GDANSK_2;298,54
DC;GDANSK_3;305,24
DC;STARGARD_SZCZECINSKI;257
DC;SZCZECIN_1;277,68
DC;SZCZECIN_2;273,58
DC;SZCZECIN_3;268,65
DC;TCZEW;278,36
DC;GRUDZIADZ_1;208,07
DC;GRUDZIADZ_2;222,7
DC;WARSZAWA_STAWKI;303,9
DC;JOZEFOSLAW;310,36
DC;GDANSK_4;299,25
DC;GDANSK_5;308,61
DC;OLSZTYN;336,54
DC;ZIELONA_GORA_1;160,47
DC;ZIELONA_GORA_2;161,14
DC;SLUBICE;179,28
DC;DREZDENKO;138,74
DC;STRZELCE_KRAJENSKIE;160,53
DC;GORZOW_1;171,31
DC;GORZOW_2;168,62
DC;PNIEWY;70,67
DC;PLOCK_1;222,25
DC;PLOCK_2;221,62
DC;PLOCK_3;221,62
DC;BRWINOW;285,49
DC;WARSZAWA_TARG;311,1
DC;WARSZAWA_UR;309,63
DC;TARNOWO_PODGORNE;39,82
DC;GNIEZNO;57,36
DC;GRUDZIADZ_3;207,92
BIALYSTOK_1;DC;497,52
BIALYSTOK_1;BIALYSTOK_2;2,74
BIALYSTOK_1;BYDGOSZCZ_1;402,77
BIALYSTOK_1;BYDGOSZCZ_2;393,43
BIALYSTOK_1;BYDGOSZCZ_3;399,25
BIALYSTOK_1;GLOGOW_1;591,66
BIALYSTOK_1;GLOGOW_2;594,43
BIALYSTOK_1;INOWROCLAW;401,83
BIALYSTOK_1;JAROCIN;474,49
BIALYSTOK_1;KALISZ_1;426,89
BIALYSTOK_1;KIELCE;376,91
BIALYSTOK_1;KONIN;426,15
BIALYSTOK_1;KOSZALIN;589,77
BIALYSTOK_1;LEGNICA;618,16
BIALYSTOK_1;LESZNO_1;570,63
BIALYSTOK_1;LESZNO_2;545,48
BIALYSTOK_1;LUBIN;607,14
BIALYSTOK_1;LUBON;500,29
BIALYSTOK_1;LODZ_1;320,17
BIALYSTOK_1;LODZ_2;329,39
BIALYSTOK_1;OBORNIKI_WLKP;548,9
BIALYSTOK_1;PABIANICE;340,15
BIALYSTOK_1;PILA_1;506,31
BIALYSTOK_1;PILA_2;505,93
BIALYSTOK_1;PIOTRKOW_TRYB;338,52
BIALYSTOK_1;POZNAN_Z;496,89
BIALYSTOK_1;POZNAN_B;500,33
BIALYSTOK_1;POZNAN_D;512,74
BIALYSTOK_1;POZNAN_GL;505,37
BIALYSTOK_1;POZNAN_GR;504,09
BIALYSTOK_1;POZNAN_H;503,63
BIALYSTOK_1;POZNAN_MAL;499,02
BIALYSTOK_1;POZNAN_MAR;505,79
BIALYSTOK_1;POZNAN_PLA;505
BIALYSTOK_1;POZNAN_PLE;507,31
BIALYSTOK_1;POZNAN_PRO;505,27
BIALYSTOK_1;POZNAN_R;499,83
BIALYSTOK_1;POZNAN_T;510,23
BIALYSTOK_1;RADOM;303,72
BIALYSTOK_1;RZESZOW_1;419,22
BIALYSTOK_1;RZESZOW_2;419
BIALYSTOK_1;SIERADZ;391,25
BIALYSTOK_1;SUCHY_LAS;514,5
BIALYSTOK_1;SWARZEDZ;495,87
BIALYSTOK_1;SRODA_WLKP;477,58
BIALYSTOK_1;TORUN_1;360,26
BIALYSTOK_1;TORUN_2;357,67
BIALYSTOK_1;TORUN_3;350,81
BIALYSTOK_1;TRZCIANKA;529,66
BIALYSTOK_1;WARSZAWA_BL;202,44
BIALYSTOK_1;WARSZAWA_J;214,39
BIALYSTOK_1;WARSZAWA_TARCH;196,84
BIALYSTOK_1;WROCLAW_1;546,22
BIALYSTOK_1;WROCLAW_2;547,09
BIALYSTOK_1;WROCLAW_3;534,15
BIALYSTOK_1;WROCLAW_4;547,19
BIALYSTOK_1;WROCLAW_5;545,14
BIALYSTOK_1;ZLOTOW;506,84
BIALYSTOK_1;CHRZANOW;525,12
BIALYSTOK_1;KATOWICE;494,7
BIALYSTOK_1;BIELSKO_BIALA;543,44
BIALYSTOK_1;GDANSK_1;403,05
BIALYSTOK_1;GDANSK_2;401,43
BIALYSTOK_1;GDANSK_3;399,8
BIALYSTOK_1;STARGARD_SZCZECINSKI;638,94
BIALYSTOK_1;SZCZECIN_1;679,67
BIALYSTOK_1;SZCZECIN_2;676,06
BIALYSTOK_1;SZCZECIN_3;664,16
BIALYSTOK_1;TCZEW;391,23
BIALYSTOK_1;GRUDZIADZ_1;365,94
BIALYSTOK_1;GRUDZIADZ_2;356,91
BIALYSTOK_1;WARSZAWA_STAWKI;196,01
BIALYSTOK_1;JOZEFOSLAW;214,43
BIALYSTOK_1;GDANSK_4;398,82
BIALYSTOK_1;GDANSK_5;403,16
BIALYSTOK_1;OLSZTYN;229,19
BIALYSTOK_1;ZIELONA_GORA_1;645,97
BIALYSTOK_1;ZIELONA_GORA_2;646,64
BIALYSTOK_1;SLUBICE;664,78
BIALYSTOK_1;DREZDENKO;615,07
BIALYSTOK_1;STRZELCE_KRAJENSKIE;652,81
BIALYSTOK_1;GORZOW_1;656,81
BIALYSTOK_1;GORZOW_2;654,12
BIALYSTOK_1;PNIEWY;556,18
BIALYSTOK_1;PLOCK_1;272,82
BIALYSTOK_1;PLOCK_2;273,67
BIALYSTOK_1;PLOCK_3;273,67
BIALYSTOK_1;BRWINOW;221,13
BIALYSTOK_1;WARSZAWA_TARG;186,16
BIALYSTOK_1;WARSZAWA_UR;205,66
BIALYSTOK_1;TARNOWO_PODGORNE;525,32
BIALYSTOK_1;GNIEZNO;441,99
BIALYSTOK_1;GRUDZIADZ_3;365,79
BIALYSTOK_2;DC;494,35
BIALYSTOK_2;BIALYSTOK_1;2,75
BIALYSTOK_2;BYDGOSZCZ_1;399,61
BIALYSTOK_2;BYDGOSZCZ_2;390,26
BIALYSTOK_2;BYDGOSZCZ_3;396,08
BIALYSTOK_2;GLOGOW_1;588,49
BIALYSTOK_2;GLOGOW_2;591,27
BIALYSTOK_2;INOWROCLAW;398,66
BIALYSTOK_2;JAROCIN;471,32
BIALYSTOK_2;KALISZ_1;423,72
BIALYSTOK_2;KIELCE;373,75
BIALYSTOK_2;KONIN;422,98
BIALYSTOK_2;KOSZALIN;586,6
BIALYSTOK_2;LEGNICA;614,99
BIALYSTOK_2;LESZNO_1;567,46
BIALYSTOK_2;LESZNO_2;542,31
BIALYSTOK_2;LUBIN;603,97
BIALYSTOK_2;LUBON;497,12
BIALYSTOK_2;LODZ_1;317,01
BIALYSTOK_2;LODZ_2;326,22
BIALYSTOK_2;OBORNIKI_WLKP;545,73
BIALYSTOK_2;PABIANICE;336,98
BIALYSTOK_2;PILA_1;503,15
BIALYSTOK_2;PILA_2;502,76
BIALYSTOK_2;PIOTRKOW_TRYB;335,35
BIALYSTOK_2;POZNAN_Z;493,72
BIALYSTOK_2;POZNAN_B;497,17
BIALYSTOK_2;POZNAN_D;509,57
BIALYSTOK_2;POZNAN_GL;502,2
BIALYSTOK_2;POZNAN_GR;500,92
BIALYSTOK_2;POZNAN_H;500,47
BIALYSTOK_2;POZNAN_MAL;495,86
BIALYSTOK_2;POZNAN_MAR;502,62
BIALYSTOK_2;POZNAN_PLA;501,83
BIALYSTOK_2;POZNAN_PLE;504,14
BIALYSTOK_2;POZNAN_PRO;502,1
BIALYSTOK_2;POZNAN_R;496,66
BIALYSTOK_2;POZNAN_T;507,06
BIALYSTOK_2;RADOM;300,56
BIALYSTOK_2;RZESZOW_1;418,68
BIALYSTOK_2;RZESZOW_2;418,46
BIALYSTOK_2;SIERADZ;388,09
BIALYSTOK_2;SUCHY_LAS;511,34
BIALYSTOK_2;SWARZEDZ;492,71
BIALYSTOK_2;SRODA_WLKP;474,41
BIALYSTOK_2;TORUN_1;357,09
BIALYSTOK_2;TORUN_2;354,51
BIALYSTOK_2;TORUN_3;347,64
BIALYSTOK_2;TRZCIANKA;526,49
BIALYSTOK_2;WARSZAWA_BL;199,27
BIALYSTOK_2;WARSZAWA_J;211,22
BIALYSTOK_2;WARSZAWA_TARCH;193,67
BIALYSTOK_2;WROCLAW_1;543,06
