Target; Demand
BIALYSTOK_1;6
BIALYSTOK_2;7
WARSZAWA_BL;20
CHRZANOW;4
KATOWICE;14
BIELSKO_BIALA;10
GDANSK_2;11
GDANSK_1;11
GDANSK_3;11
KIELCE;12
RZESZOW_2;11
RZESZOW_1;11
STARGARD_SZCZECINSKI;20
SZCZECIN_3;7
WROCLAW_1;6
WROCLAW_4;5
WROCLAW_3;5
WROCLAW_2;5
TCZEW;8
GRUDZIADZ_2;12
SZCZECIN_1;13
SZCZECIN_2;11
WARSZAWA_BL;19
WARSZAWA_J;18
WROCLAW_3;10
WROCLAW_5;10
LEGNICA;3
LUBIN;3
GLOGOW_1;3
GLOGOW_2;3
LESZNO_2;3
LESZNO_1;3
WARSZAWA_BL;18
WARSZAWA_STAWKI;18
JOZEFOSLAW;4
GDANSK_4;10
ZLOTOW;2
PILA_1;4
PILA_2;4
TRZCIANKA;3
OBORNIKI_WLKP;3
BYDGOSZCZ_1;9
BYDGOSZCZ_3;9
BYDGOSZCZ_2;8
GRUDZIADZ_1;7
GRUDZIADZ_2;7
OLSZTYN;19
ZIELONA_GORA_2;14
SLUBICE;5
WROCLAW_1;7
WROCLAW_4;7
WROCLAW_2;7
DREZDENKO;3
STRZELCE_KRAJENSKIE;3
GORZOW_1;8
GORZOW_2;7
INOWROCLAW;5
TORUN_3;4
TORUN_1;4
TORUN_2;4
SRODA_WLKP;3
JAROCIN;3
KALISZ_1;5
POZNAN_B;5
POZNAN_H;5
LUBON;8
POZNAN_MAR;6
POZNAN_PRO;6
POZNAN_PLE;8
WARSZAWA_TARCH;32
POZNAN_T;4
PNIEWY;8
POZNAN_MAL;8
POZNAN_GR;8
SWARZEDZ;4
POZNAN_R;3
POZNAN_GL;3
POZNAN_Z;5
POZNAN_PLA;6
SUCHY_LAS;7
PLOCK_1;8
WARSZAWA_BL;22
BRWINOW;3
PLOCK_1;8
PLOCK_2;8
PLOCK_3;8
SUCHY_LAS;5
POZNAN_Z;5
POZNAN_GR;5
BYDGOSZCZ_1;9
BYDGOSZCZ_2;8
BYDGOSZCZ_3;9
STRZELCE_KRAJENSKIE;3
GORZOW_1;7
GORZOW_2;7
DREZDENKO;7
PNIEWY;7
TRZCIANKA;7
OBORNIKI_WLKP;8
INOWROCLAW;5
TORUN_2;5
TORUN_1;5
TORUN_3;4
SRODA_WLKP;5
JAROCIN;5
LESZNO_1;5
LESZNO_2;5
SRODA_WLKP;5
POZNAN_PRO;12
POZNAN_T;11
POZNAN_R;11
POZNAN_MAL;4
POZNAN_B;4
LUBON;6
POZNAN_PRO;4
POZNAN_R;2
POZNAN_H;3
POZNAN_MAR;2
POZNAN_T;3
POZNAN_PLA;3
POZNAN_B;8
LUBON;12
SWARZEDZ;8
POZNAN_MAL;10
POZNAN_PLE;7
POZNAN_MAR;6
POZNAN_H;7
POZNAN_H;9
POZNAN_PLA;9
