Target; Demand
WARSZAWA_TARCH;7
WARSZAWA_STAWKI;7
JOZEFOSLAW;4
GDANSK_2;8
GDANSK_4;8
GDANSK_1;9
GDANSK_3;8
WARSZAWA_BL;11
WARSZAWA_BL;10
WARSZAWA_TARG;10
SZCZECIN_3;5
SZCZECIN_2;5
SZCZECIN_1;5
STARGARD_SZCZECINSKI;4
WROCLAW_2;10
WROCLAW_3;10
WROCLAW_1;10
WROCLAW_1;8
WROCLAW_2;8
WROCLAW_4;9
WROCLAW_3;8
LUBIN;3
LEGNICA;4
LESZNO_1;4
LESZNO_2;4
KALISZ_1;8
SIERADZ;4
KONIN;6
PABIANICE;6
PIOTRKOW_TRYB;6
RADOM;15
WROCLAW_5;11
WROCLAW_4;12
KOSZALIN;15
LODZ_1;5
LODZ_1;6
LODZ_2;6
KONIN;4
GLOGOW_1;4
GLOGOW_2;4
ZIELONA_GORA_2;7
BYDGOSZCZ_3;7
BYDGOSZCZ_2;6
BYDGOSZCZ_1;7
LEGNICA;8
LUBIN;8
GLOGOW_2;6
PILA_2;6
PILA_1;6
TRZCIANKA;4
ZLOTOW;4
SRODA_WLKP;5
JAROCIN;5
POZNAN_GL;4
TORUN_3;7
TORUN_1;7
TORUN_2;7
INOWROCLAW;6
PILA_1;6
PILA_2;6
ZLOTOW;4
BYDGOSZCZ_1;6
BYDGOSZCZ_2;6
BYDGOSZCZ_3;6
GLOGOW_1;12
POZNAN_H;6
LUBON;6
POZNAN_PRO;6
POZNAN_T;7
PNIEWY;7
POZNAN_GR;8
POZNAN_Z;9
SIERADZ;7
KALISZ_1;14
POZNAN_PLA;10
POZNAN_MAR;9
SWARZEDZ;4
POZNAN_Z;4
POZNAN_MAL;5
POZNAN_R;4
POZNAN_GR;9
POZNAN_PLE;8
OBORNIKI_WLKP;6
SUCHY_LAS;5
POZNAN_B;6
SUCHY_LAS;18
POZNAN_D;19
POZNAN_D;20
POZNAN_PRO;27
POZNAN_R;10
POZNAN_PRO;10
POZNAN_T;10
POZNAN_R;10
POZNAN_PLA;10
POZNAN_MAL;8
POZNAN_GR;8
LUBON;7
POZNAN_PLE;7
POZNAN_MAR;6
POZNAN_MAL;8
POZNAN_B;8
POZNAN_H;7
POZNAN_PLA;7
POZNAN_PLE;10
POZNAN_T;10
POZNAN_MAR;10
POZNAN_H;10
POZNAN_R;10
LUBON;9
POZNAN_H;10
POZNAN_B;9
